Country,Sector,Indicator,Definition,Unit,References
Chile,Macro,Final energy demand per capita,Final energy demand per capita,GJ (final) / cap,"Energy:
 Plan de Mitigación de Gases de Efecto Invernadero para el Sector Energía (Ministerio de Energía, 2017). Current policies scenario.
Population:
 Plan de Mitigación de Gases de Efecto Invernadero para el Sector Energía (Ministerio de Energía, 2017)
World Bank (2018). (1) United Nations Population Division. World Population Prospects: 2017 Revision. (2) Census reports and other statistical publications from national statistical offices, (3) Eurostat: Demographic Statistics, (4) United Nations Statistical Division. Population and Vital Statistics Reprot (various years), (5) U.S. Census Bureau: International Database, and (6) Secretariat of the Pacific Community: Statistics and Demography Programme."
Chile,Macro,GDP per capita,GDP per capita,thousand USD2012 (PPP) / cap,"GDP:
 Plan de Mitigación de Gases de Efecto Invernadero para el Sector Energía (Ministerio de Energía, 2017). Conversions using World Bank indicators (2018)
Population:
 Plan de Mitigación de Gases de Efecto Invernadero para el Sector Energía (Ministerio de Energía, 2017)"
Chile,Macro,Emissions intensity of GDP,GHG emissions per GDP,tCO2e / thsd. USD2012 (PPP),"Energy:
  Plan de Mitigación de Gases de Efecto Invernadero para el Sector Energía (Ministerio de Energía, 2017). Current policies scenario.
GDP:
 Plan de Mitigación de Gases de Efecto Invernadero para el Sector Energía (Ministerio de Energía, 2017). Conversions using World Bank indicators (2018)"
Chile,Macro,Primary energy intensity of GDP,Primary energy demand per GDP,TJ (primary) / mln. USD2012 (PPP),"Energy:
 Plan de Mitigación de Gases de Efecto Invernadero para el Sector Energía (Ministerio de Energía, 2017). Current policies scenario.
GDP:
 Plan de Mitigación de Gases de Efecto Invernadero para el Sector Energía (Ministerio de Energía, 2017). Conversions using World Bank indicators (2018)"
Chile,Macro,Final energy intensity of GDP,Final energy demand per GDP,TJ (final) / mln. USD2012 (PPP),"Energy:
 Plan de Mitigación de Gases de Efecto Invernadero para el Sector Energía (Ministerio de Energía, 2017). Current policies scenario.
GDP:
 Plan de Mitigación de Gases de Efecto Invernadero para el Sector Energía (Ministerio de Energía, 2017). Conversions using World Bank indicators (2018)"
Chile,Macro,Emissions intensity of energy,Energy-related CO2 emissions per unit primary energy demand,tCO2 / TJ (primary),"Emissions:
Climate Action Tracker (2018). Chile. Link: 
https://climateactiontracker.org/countries/chile/
Energy:
 Plan de Mitigación de Gases de Efecto Invernadero para el Sector Energía (Ministerio de Energía, 2017). Current policies scenario."
Chile,Macro,Fossil fuel share,Fossil fuels in primary energy demand,% fossil fuels,"Plan de Mitigación de Gases de Efecto Invernadero para el Sector Energía (Ministerio de Energía, 2017). Current policies scenario"
Chile,Macro,Coal share,Coal in primary energy demand,% coal,"Plan de Mitigación de Gases de Efecto Invernadero para el Sector Energía (Ministerio de Energía, 2017). Current policies scenario"
China,Electricity,Electricity activity,Electricity demand per capita,kWh / cap,"Electricity:
IEA WEO 2018 (Current Policies Scenario), Annex A, China

Population: 
United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, DVD Edition. Medium Fertility Variant. Link: https://esa.un.org/unpd/wpp/Download/Standard/Population/"
China,Electricity,Renewable energy generation (index),Renewable energy generation (indexed to base year),1990 value normalised to 1,"Climate Action Tracker (2019). China. Link: http://climateactiontracker.org/countries/china.html

Chinese Renewable Energy Outlook, 2017
IEA WEO 2018 (Current Policies Scenario), Annex A, China"
China,Transport: Road,Road transport emissions intensity,CO2 emission per vehicle kilometre,kg CO2 / vkm,"ICCT Global Transportation Roadmap Model, August 2017 version (2017), available via http://www.theicct.org/global-transportation-roadmap-model"
China,Transport: Road,EV market shares,Share of EVs in total new sales of LDVs per year. ,% of LDVs sold / year,IEA Global EV Outlook 2019
China,Buildings,Buildings emissions intensity (residential),CO2 emissions per residential building area,kg CO2 / m²,"Buildings emissions: Climate Transparency Initiative (2016). ClimateWorks Foundation, San Francisco, CA. Available at climateworkstracker.org. Buildings subsector data.
Floorspace: IEA (2013) Transition to Sustainable Buildings, Table 2.3.1, https://www.iea.org/media/training/presentations/etw2014/publications/Sustainable_Buildings_2013.pdf"
China,Macro,Emissions per capita,GHG emissions per capita,tCO2e / cap,"Emissions (excl. LULUCF): 
Climate Action Tracker (2019). China. Link: http://climateactiontracker.org/countries/china.html

Population: 
United Nations, Department of Economic and Social Affairs, Population Division (2017). World Population Prospects: The 2017 Revision, DVD Edition. Medium Fertility Variant. Link: https://esa.un.org/unpd/wpp/Download/Standard/Population/. "
China,Macro,Emissions intensity of GDP,GHG emissions per GDP,tCO2e / thsd. USD2012 (PPP),"Emissions (excl. LULUCF):
Climate Action Tracker (2017). China. Link: http://climateactiontracker.org/countries/china.html

GDP: 
Worldbank (2019)"
China,Macro,Total GHG emissions from buildings,Total greenhouse gas emissions from the building sector.,Mt CO2e,"Emissions:Climate Transparency Initiative (2016). ClimateWorks Foundation, San Francisco, CA. Available at climateworkstracker.org. Buildings subsector data. "
China,Macro,Total GHG emissions from transport,Total greenhouse gas emissions from the transport sector,Mt CO2e,"Emissions: Climate Transparency Initiative (2016). ClimateWorks Foundation, San Francisco, CA. Available at climateworkstracker.org. Transport subsector data."
China,Macro,Total GHG emissions from industry,Total greenhouse gas emissions from industry,Mt CO2e,"Emissions:  Climate Transparency Initiative (2016). ClimateWorks Foundation, San Francisco, CA. Available at climateworkstracker.org. Industry subsector data. "
China,Macro,Total GHG emissions from Agriculture,Total greenhouse gas emissions from agriculture,Mt CO2e,"Emissions: Climate Transparency Initiative (2016). ClimateWorks Foundation, San Francisco, CA. Available at climateworkstracker.org. Agriculture subsector data. "
China,Macro,Total GHG emissions from Waste,Total greenhouse gas emissions from waste,Mt CO2e,"Emissions:  Climate Transparency Initiative (2016). ClimateWorks Foundation, San Francisco, CA. Available at climateworkstracker.org. Waste subsector data. "
China,Macro,Oil share in Primary Energy,Share of oil in the total primary energy supply ,%,"Climate Action Tracker (2019). China. Link: http://climateactiontracker.org/countries/china.html

Chinese Renewable Energy Outlook, 2017
IEA WEO 2018 (Current Policies Scenario), Annex A, China"
China,Macro,Gas share in Primary Energy,Share of gas in the total primary energy supply. ,%,"Climate Action Tracker (2019). China. Link: http://climateactiontracker.org/countries/china.html

Chinese Renewable Energy Outlook, 2017
IEA WEO 2018 (Current Policies Scenario), Annex A, China"
China,Macro,Nuclear share in Primary Energy,Share of nuclear in the total primary energy supply. ,%,"Climate Action Tracker (2019). China. Link: http://climateactiontracker.org/countries/china.html

Chinese Renewable Energy Outlook, 2017
IEA WEO 2018 (Current Policies Scenario), Annex A, China"
China,Macro,Renewable share in Primary Energy,Share of renewables in the total primary energy supply (excluding hydro power).,%,"Climate Action Tracker (2019). China. Link: http://climateactiontracker.org/countries/china.html

Chinese Renewable Energy Outlook, 2017
IEA WEO 2018 (Current Policies Scenario), Annex A, China"
China,Macro,Hydro share in Primary Energy,Share of Hydro in the total primary energy supply.,%,"Climate Action Tracker (2019). China. Link: http://climateactiontracker.org/countries/china.html

Chinese Renewable Energy Outlook, 2017
IEA WEO 2018 (Current Policies Scenario), Annex A, China"
China,Industry: Cement,Cement activity,Amount of cement produced per capita,t product / cap,"Cement production: 
Hasanbeigi et al. (2017).  Lawrence Berkeley National Laboratory.  Air Pollutant Emissions Projections for the Cement and Steel Industry in China and the Impact of Emissions Control Technologies. https://china.lbl.gov/sites/default/files/lbnl1007268.pdf

Population: 
United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision."
China,Industry: Cement,Cement emissions intensity,CO2 emissions per unit cement produced,kg CO2 / t product,"Emissions Climate Transparency Initiative (2016). ClimateWorks Foundation, San Francisco, CA. Available at climateworkstracker.org. Industry subsector data. 

Cement production: Hasanbeigi et al. (2017).  Lawrence Berkeley National Laboratory.  Air Pollutant Emissions Projections for the Cement and Steel Industry in China and the Impact of Emissions Control Technologies. https://china.lbl.gov/sites/default/files/lbnl1007268.pdf"
China,Industry: Steel,Steel activity,Amount of steel produced per capita,t product / cap,"Steel production: 
Hasanbeigi et al. (2017).  Lawrence Berkeley National Laboratory.  Air Pollutant Emissions Projections for the Cement and Steel Industry in China and the Impact of Emissions Control Technologies. https://china.lbl.gov/sites/default/files/lbnl1007268.pdf

Population: 
United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision."
China,Industry: Steel,Steel emissions intensity,CO2 emissions per unit steel produced,kg CO2 / t product,"Emissions: Climate Transparency Initiative (2016). ClimateWorks Foundation, San Francisco, CA. Available at climateworkstracker.org. Industry subsector data. 

Steel production: Hasanbeigi et al. (2017).  Lawrence Berkeley National Laboratory.  Air Pollutant Emissions Projections for the Cement and Steel Industry in China and the Impact of Emissions Control Technologies. https://china.lbl.gov/sites/default/files/lbnl1007268.pdf"
China,Electricity,Coal power share in total electricity generation,Coal power share in total electricity generation.,%,"Climate Action Tracker (2019). China. Link: http://climateactiontracker.org/countries/china.html

Chinese Renewable Energy Outlook, 2017
IEA WEO 2018 (Current Policies Scenario), Annex A, China"
China,Transport: Road,Modal split,Modal split,% private cars and motorcycles,"ICCT Global Transportation Roadmap Model, August 2017 version (2017), available via http://www.theicct.org/global-transportation-roadmap-model"
China,Transport: Road,EVs per capita,Amount of EVs per 1000 capita,EVs / 1000 cap,IEA Global EV Outlook 2019
China,Transport: Road,EV Charging stations per capita,Number of electric vehicle charging stations per person. ,charging stations / cap,IEA Global EV Outlook 2019
China,Buildings,Buildings activity (residential),Residential building area per capita,m² / cap,"IEA (2013) Transition to Sustainable Buildings, Table 2.3.1, https://www.iea.org/media/training/presentations/etw2014/publications/Sustainable_Buildings_2013.pdf

United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision."
China,Buildings,Buildings emissions intensity (commercial),CO2 emissions per commercial building area,kg CO2 / m²,"Emissions: Climate Transparency Initiative (2016). ClimateWorks Foundation, San Francisco, CA. Available at climateworkstracker.org. Buildings (Commercial) subsector data. 

Floor space: IEA (2013) Transition to Sustainable Buildings, Table 2.3.1, https://www.iea.org/media/training/presentations/etw2014/publications/Sustainable_Buildings_2013.pdf"
China,Buildings,Buildings emissions intensity (per capita),Total building CO2 emissions per capita,t CO2 / cap,"Emissions: Climate Transparency Initiative (2016). ClimateWorks Foundation, San Francisco, CA. Available at climateworkstracker.org. Buildings subsector data. 

Population: United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision."
China,Macro,Primary energy demand per capita,Primary energy demand per capita,GJ (primary) / cap,"Energy: 
IEA WEO 2018 (Current Policies Scenario), Annex A, China

Population: 
United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision."
China,Macro,Emissions intensity of energy,Energy-related CO2 emissions per unit primary energy demand,tCO2 / TJ (primary),"Emissions:
Climate Action Tracker (2019). China. Link: http://climateactiontracker.org/countries/china.html

Energy: 
IEA WEO 2018 (Current Policies Scenario), Annex A, China"
China,Macro,Total fossil CO2 emission,Total fossil CO2 emissions,Mt CO2e,"Climate Action Tracker (2019). China. Link: http://climateactiontracker.org/countries/china.html

Chinese Renewable Energy Outlook, 2017
IEA WEO 2018 (Current Policies Scenario), Annex A, China"
China,Macro,Population,The total population of the country that we use for the calculating any indicators that are measured per capita. ,million people,"Population: 
United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision."
China,Electricity,Electricity emissions intensity,CO2 emissions per unit electricity produced,gCO2 / kWh,"IEA WEO 2018 (Current Policies Scenario), Annex A, China"
China,Electricity,Electricity renewable intensity,Renewables in electricity generation,% renewables,"Climate Action Tracker (2019). China. Link: http://climateactiontracker.org/countries/china.html

Chinese Renewable Energy Outlook, 2017
IEA WEO 2018 (Current Policies Scenario), Annex A, China"
China,Electricity,Renewables generation capacity,Totall installed capacity of renewable energy. ,TW,"Climate Action Tracker (2019). China. Link: http://climateactiontracker.org/countries/china.html

Chinese Renewable Energy Outlook, 2017
IEA WEO 2018 (Current Policies Scenario), Annex A, China"
China,Electricity,Fossil generation capacity,Total installed capacity of electricity generation from fossil fuels. ,TW,"Climate Action Tracker (2019). China. Link: http://climateactiontracker.org/countries/china.html

Chinese Renewable Energy Outlook, 2017
IEA WEO 2018 (Current Policies Scenario), Annex A, China"
China,Buildings,Buildings activity (commercial),Commercial building area per capita,m² / cap,"IEA (2013) Transition to Sustainable Buildings, Table 2.3.1, https://www.iea.org/media/training/presentations/etw2014/publications/Sustainable_Buildings_2013.pdf

Population: 
United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision."
China,Macro,Primary energy intensity of GDP,Primary energy demand per GDP,TJ (primary) / mln. USD2012 (PPP),"IEA WEO 2018 (Current Policies Scenario), Annex A, China

GDP: World Bank 2019"
China,Oil and Gas,Oil and Gas activity,Oil and Gas Production,Mtoe,U.S. Energy Information Administration (2017).  International Energy Outlook 2017.  https://www.eia.gov/outlooks/ieo/
China,Transport: Aviation,Aviation activity,Passenger flux per capita,pkm / cap,"ICCT Global Transportation Roadmap Model, August 2017 version (2017), available via http://www.theicct.org/transportation-roadmap

Population: 
United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision."
China,Agriculture,Agriculture activity (meat): consumption,Meat calorie consumption per capita,meat kcal / cap / day,OECD-FAO Agricultural Outlook 2017-2026. http://stats.oecd.org/Index.aspx?DataSetCode=HIGH_AGLINK_2017
China,Agriculture,Agriculture activity (meat): production,Meat production per capita,meat kg / cap / day,OECD-FAO Agricultural Outlook 2017-2026. http://stats.oecd.org/Index.aspx?DataSetCode=HIGH_AGLINK_2017
China,Waste,Waste activity,Amount of waste per capita,t waste / cap,World Bank (2019). What a Waste 2.0 (Appendix A) https://openknowledge.worldbank.org/handle/10986/30317
China,Macro,Final energy demand per capita,Final energy demand per capita,GJ (final) / cap,"Energy: 
IEA WEO 2018 (Current Policies Scenario), Annex A, China

Population:  
United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision."
China,Macro,GDP per capita,GDP per capita,thousand USD2012 (PPP) / cap,"World Bank (2019). 

Population: 
United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision."
China,Macro,Final energy intensity of GDP,Final energy demand per GDP,TJ (final) / mln. USD2012 (PPP),"IEA WEO 2018 (Current Policies Scenario), Annex A, China
"
China,Macro,Fossil fuel share,Fossil fuels in primary energy demand,% fossil fuels,"Climate Action Tracker (2019). China. Link: http://climateactiontracker.org/countries/china.html

Chinese Renewable Energy Outlook, 2017
IEA WEO 2018 (Current Policies Scenario), Annex A, China"
China,Macro,Coal share,Coal in primary energy demand,% coal,"Climate Action Tracker (2019). China. Link: http://climateactiontracker.org/countries/china.html

Chinese Renewable Energy Outlook, 2017
IEA WEO 2018 (Current Policies Scenario), Annex A, China"
Costa Rica,Electricity,Electricity activity,Electricity demand per capita,kWh / cap,"Electricity demand:
Instituto Costarricense de Electricidad (2018). Proyecciones de la demanda eléctrica de Costa Rica 2018 – 2040. Scenarios low (min) and base (max).
Population:
World Bank (2019). United Nations Population Division. World Population Prospects: 2019 Revision."
Costa Rica,Electricity,Electricity emissions intensity,CO2 emissions per unit electricity produced,gCO2 / kWh,Instituto Costarricense de Electricidad (2017). Plan de Expansión de la Generación Eléctrica 2016-2035
Costa Rica,Electricity,Electricity renewable intensity,Renewables in electricity generation,% renewables,Instituto Costarricense de Electricidad (2017). Plan de Expansión de la Generación Eléctrica 2016-2035
Costa Rica,Electricity,Renewables capacity,Total installed capacity of renewable energy. ,TW,Instituto Costarricense de Electricidad (2017). Plan de Expansión de la Generación Eléctrica 2016-2035
Costa Rica,Electricity,Renewables capacity growth rates,Growth rates of installed renewable electricity capacity. ,% / year,Instituto Costarricense de Electricidad (2017). Plan de Expansión de la Generación Eléctrica 2016-2035
Costa Rica,Electricity,Fossil generation capacity,Total installed capacity of electricity generation from fossil fuels. ,TW,Instituto Costarricense de Electricidad (2017). Plan de Expansión de la Generación Eléctrica 2016-2035
Costa Rica,Electricity,Fossil generation capacity growth rates,Growth rate of installed fossil fuel powered electricity generation capacity. ,% / year,Instituto Costarricense de Electricidad (2017). Plan de Expansión de la Generación Eléctrica 2016-2035
Costa Rica,Electricity,Coal power share in total electricity generation,Coal power share in total electricity generation,% ,Instituto Costarricense de Electricidad (2017). Plan de Expansión de la Generación Eléctrica 2016-2035
Costa Rica,Transport: Road,Modal split,Modal split,% private cars and motorcycles,"Historical (until 2016) from:
Ministerio de Obras Públicas y Transportes (2017) Anuario Estadístico del Sector Transporte e Infraestructura 2016. Available at: http://repositorio.mopt.go.cr:8080/xmlui/handle/123456789/3879 (Accessed: 17 October 2018)
Projection growthrate from:
Mezger, T. (2016) Implicaciones sociales, económicas y ambientales del modelo de ciudad vigente en la GAM. Available at: https://estadonacion.or.cr/files/biblioteca_virtual/022/Ambiente/Mezger_2016.pdf"
Costa Rica,Transport: Road,EVs per capita,Amount of EVs per 1000 capita,EVs / 1000 cap,"Max:
Own estimation using NewClimate Institute's Policy assessment tool (EV) assuming that private electric vehicle penetration resulting from the financial and non-financial benefits from Law 9518—including benefits on VAT, import tax, consumption tax, ownership tax, company tax, circulation, parking, and labelling of electric vehicles—will follow a logistic curve.We used  historical fleet numbers from the Ministry of Public Infrastructure and Transport (Ministerio de Obras Públicas y Transportes, 2017), growth projections for the Costa Rican fleet from Mezger (2016),  activity projections from the ICCT roadmap model (ICCT, 2017), and population projections from UN (UN 2019) .
Min:
Own estimation: linear interpolation of current share of electric vehicles in the LDV fleet and the expected amount of electric vehicles expected by the government in 2030 (Gobierno de Costa Rica, 2019). We used  historical fleet numbers from the Ministry of Public Infrastructure and Transport (Ministerio de Obras Públicas y Transportes, 2017), growth projections for the Costa Rican fleet from Mezger (2016),  activity projections from the ICCT roadmap model (ICCT, 2017), and population projections from UN (UN 2019) .
Sources:
Gobierno de Costa Rica (2019). Plan Nacional de Transporte Electrico 2018-2030. Available at: https://sepse.go.cr/documentos/PlanTranspElect.pdf
ICCT (2017) 2017 Global update: Light-duty vehicle greenhouse gas and fuel economy standards. Available at: https://www.theicct.org/publications/2017-global-update-LDV-GHG-FE-standards.
Mezger, T. (2016) Implicaciones sociales, económicas y ambientales del modelo de ciudad vigente en la GAM. Available at: https://estadonacion.or.cr/files/biblioteca_virtual/022/Ambiente/Mezger_2016.pdf
Ministerio de Obras Públicas y Transportes (2017) Anuario Estadístico del Sector Transporte e Infraestructura 2016. Available at: http://repositorio.mopt.go.cr:8080/xmlui/handle/123456789/3879 (Accessed: 17 October 2018).
NewClimate Institute (2018) Policy impact assessment tool (EV). Available at: https://newclimate.org/2018/11/30/policy-tool-ev/
United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision."
Costa Rica,Transport: Road,EV market shares,Share of EVs in total new sales of LDVs per year. ,% of LDVs sold / year,"Own estimation using NewClimate Institute's Policy assessment tool (EV) 2018 assuming that private electric vehicle penetration resulting from the financial and non-financial benefits from Law 9518—including benefits on VAT, import tax, consumption tax, ownership tax, company tax, circulation, parking, and labelling of electric vehicles—will follow a logistic curve.
NewClimate Institute (2018) Policy impact assessment tool (EV). Available at: https://newclimate.org/2018/11/30/policy-tool-ev/"
Costa Rica,Buildings,Buildings emissions intensity (per capita),Total building CO2 emissions per capita,t CO2 / cap,"Emissions:
DecisionWare Group LLC (2017). Costa Rica - Assessing Climate Mitigation Pathways to Support NDC Implementation. Baseline scenario. Available at:https://www.decisionwaregroup.com/assets/wb-cr-ndc_mitigation-analysis-final-report-1.pdf
Population:
World Bank (2019). United Nations Population Division. World Population Prospects: 2019 Revision."
Costa Rica,Macro,Emissions per capita,GHG emissions per capita,tCO2e / cap,"Emissions:
Climate Action Tracker (2019). Costa Rica. Link: 
https://climateactiontracker.org/countries/costa-rica/
Population:
World Bank (2019). United Nations Population Division. World Population Prospects: 2019 Revision."
Costa Rica,Macro,Primary energy demand per capita,Primary energy supply per capita,GJ (primary) / cap,"Energy:
IEA (2019). Energy Balances 2019
Population:
World Bank (2019). United Nations Population Division. World Population Prospects: 2019 Revision."
Costa Rica,Macro,Final energy demand per capita,Final energy demand per capita,GJ (final) / cap,"Energy:
IEA (2017). Energy Balances 2017
Population:
World Bank (2019). United Nations Population Division. World Population Prospects: 2019 Revision."
Costa Rica,Macro,GDP per capita,GDP per capita,thousand USD2012 (PPP) / cap,"GDP:
World Bank (2017). http://data.worldbank.org/indicator/NY.GDP.MKTP.PP.CD
Instituto Costarricense de Electricidad (2018). Proyecciones de la demanda eléctrica de Costa Rica 2018 – 2040.
Population:
World Bank (2017). United Nations Population Division. World Population Prospects: 2017 Revision."
Costa Rica,Macro,Emissions intensity of GDP,GHG emissions per GDP,tCO2e / thsd. USD2012 (PPP),"Emissions:
Climate Action Tracker (2019). Costa Rica. Link: 
https://climateactiontracker.org/countries/costa-rica/
GDP:
World Bank (2019). http://data.worldbank.org/indicator/NY.GDP.MKTP.PP.CD
Instituto Costarricense de Electricidad (2018). Proyecciones de la demanda eléctrica de Costa Rica 2018 – 2040."
Costa Rica,Macro,Primary energy intensity of GDP,Primary energy supply per GDP,TJ (primary) / mln. USD2012 (PPP),"Energy:
IEA (2019). Energy Balances 2019
GDP:
World Bank (2019). http://data.worldbank.org/indicator/NY.GDP.MKTP.PP.CD"
Costa Rica,Macro,Final energy intensity of GDP,Final energy demand per GDP,TJ (final) / mln. USD2012 (PPP),"Energy:
IEA (2019). Energy Balances 2019
GDP:
World Bank (2019). http://data.worldbank.org/indicator/NY.GDP.MKTP.PP.CD"
Costa Rica,Macro,Total GHG emissions from buildings,Total greenhouse gas emissions from the building sector,Mt CO2e,DecisionWare Group LLC (2017). Costa Rica - Assessing Climate Mitigation Pathways to Support NDC Implementation. Baseline scenario. Available at:https://www.decisionwaregroup.com/assets/wb-cr-ndc_mitigation-analysis-final-report-1.pdf
Costa Rica,Macro,Total GHG emissions from transport,Total greenhouse gas emissions from the transport sector,Mt CO2e,Gobierno de Costa Rica (2019). Plan Nacional de Transporte Electrico 2018-2030. Available at: https://sepse.go.cr/documentos/PlanTranspElect.pdf
Costa Rica,Macro,Total GHG emissions from industry,Total greenhouse gas emissions from industry,Mt CO2e,DecisionWare Group LLC (2017). Costa Rica - Assessing Climate Mitigation Pathways to Support NDC Implementation. Baseline scenario. Available at:https://www.decisionwaregroup.com/assets/wb-cr-ndc_mitigation-analysis-final-report-1.pdf
Costa Rica,Macro,Total GHG emissions from Agriculture,Total greenhouse gas emissions from agriculture,Mt CO2e,DecisionWare Group LLC (2017). Costa Rica - Assessing Climate Mitigation Pathways to Support NDC Implementation. Baseline scenario. Available at:https://www.decisionwaregroup.com/assets/wb-cr-ndc_mitigation-analysis-final-report-1.pdf
Costa Rica,Macro,Population,The total population of the country that we use for the calculating any indicators that are measured per capita. ,million people,World Bank (2019). United Nations Population Division. World Population Prospects: 2019 Revision.
European Union,Industry: Cement,Cement activity,Amount of cement produced per capita,t product / cap,"Cement production data : EC LTS 2050 Industrial Innovation: Pathways to deep decarbonisation of Industry. Part 2: Scenario analysis and pathways to deep decarbonisation. https://ec.europa.eu/clima/sites/clima/files/strategies/2050/docs/industrial_innovation_part_2_en.pdf
Max : Reference Scenario 
Min : BAT Scenario
Interpolation for the 2025 datapoint. 

Population based on United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision."
European Union,Industry: Cement,Cement emissions intensity,CO2 emissions per unit cement produced,kg CO2 / t product,"Historical CO2 Emissions Cement from EEA Dataviewer EU ETS 2019

Production of cement : 
Min : BAT Scenario from EC LTS 2050 Industrial Innovation: Pathways to deep decarbonisation of Industry. Part 2. 
Max: REF Scenario from EC LTS 2050 Industrial Innovation: Pathways to deep decarbonisation of Industry. Part 2. 
2030 and 2050 values extrapolated based on non-metallic sectors emissions growth rates. 

"
European Union,Industry: Steel,Steel activity,Amount of steel produced per capita,t product / cap,"Steel production data : EC LTS 2050 Industrial Innovation: Pathways to deep decarbonisation of Industry. Part 2: Scenario analysis and pathways to deep decarbonisation. https://ec.europa.eu/clima/sites/clima/files/strategies/2050/docs/industrial_innovation_part_2_en.pdf
Max : Reference Scenario 
Min : BAT Scenario
Interpolation for the 2025 datapoint. 

Population based on United Nations, Department of Economic and Social Affairs, Population Division (2019). World Population Prospects: The 2019 Revision."
European Union,Industry: Steel,Steel emissions intensity,CO2 emissions per unit steel produced,kg CO2 / t product,"Steel emissions data from EC LTS 2050 Industrial Innovation: Pathways to deep decarbonisation of Industry. Part 2. 

Max: REF Scenario
Min: BAT Scenario

"
European Union,Industry: Chemicals,Chemicals emissions intensity,CO2 emissions in chemical sector per added value,tCO2 / thsd. USD2012 (PPP),"- Chemical Sector emissions from EU Long Term Strategy 2050 Industrial Innovaton Pathways to deep decarbonistation.
Max: Ref Scenario
Min: BAT Scenario

- Sectorial Gross Value Added based from EU Reference Scenario 2016. Interpolation made for datapoint 2015. "
European Union,Industry: Total,Industry emissions intensity,Energy-related CO2 emissions per GVA,tCO2 / thsd. USD2012 (PPP),"- Industrial Sector emissions from EU Long Term Strategy 2050 Industrial Innovaton Pathways to deep decarbonistation.
Max: Ref Scenario
Min: BT Scenario

- Sectorial Gross Value Added based from EU Reference Scenario 2016. Interpolation made for datapoint 2015. "
European Union,Electricity,Electricity activity,Electricity demand per capita,kWh / cap,"European Commission (2018). EU Long Term Strategy 2050. IN-DEPTH ANALYSIS IN SUPPORT OF THE COMMISSION COMMUNICATIONCOM(2018) 773
https://ec.europa.eu/clima/sites/clima/files/strategies/2050/docs/long-term_analysis_in_depth_analysis_figures_20190722_en.pdf

Electricity Demand : Figure 10 - page 10 - Baseline Scenario"
European Union,Electricity,Electricity renewable intensity,Renewables in electricity generation,% renewables,"European Commission (2018). EU Long Term Strategy 2050. IN-DEPTH ANALYSIS IN SUPPORT OF THE COMMISSION COMMUNICATIONCOM(2018) 773
https://ec.europa.eu/clima/sites/clima/files/docs/pages/com_2018_733_analysis_in_support_en_0.pdf"
European Union,Electricity,Renewable energy generation (index),Renewable energy generation (indexed to base year),1990 value normalised to 1,"European Commission (2018). EU Long Term Strategy 2050. IN-DEPTH ANALYSIS IN SUPPORT OF THE COMMISSION COMMUNICATIONCOM(2018) 773
https://ec.europa.eu/clima/sites/clima/files/docs/pages/com_2018_733_analysis_in_support_en_0.pdf"
European Union,Electricity,Renewables generation capacity,Totall installed capacity of renewable energy. ,TW,"European Commission (2018). EU Long Term Strategy 2050. IN-DEPTH ANALYSIS IN SUPPORT OF THE COMMISSION COMMUNICATIONCOM(2018) 773
https://ec.europa.eu/clima/sites/clima/files/docs/pages/com_2018_733_analysis_in_support_en_0.pdf

Baseline Scenario"
European Union,Electricity,Fossil generation capacity,Total installed capacity of electricity generation from fossil fuels. ,TW,"European Commission (2018). EU Long Term Strategy 2050. IN-DEPTH ANALYSIS IN SUPPORT OF THE COMMISSION COMMUNICATIONCOM(2018) 773
https://ec.europa.eu/clima/sites/clima/files/docs/pages/com_2018_733_analysis_in_support_en_0.pdf

Baseline Scenario"
European Union,Transport: Road,Modal split,Modal split,% private cars and motorcycles,"Global Transportation Roadmap Model, August 2017 version. http://www.theicct.org/global-transportation-roadmap-model (International Council on Clean Transportation, 2017)."
European Union,Transport: Road,Road transport emissions intensity,CO2 emission per vehicle kilometre,kg CO2 / vkm,"Min: IEA EV Global Outlook 2019 p 125 - https://webstore.iea.org/download/direct/2807?fileName=Global_EV_Outlook_2019.pdf

Max: Global Transportation Roadmap Model, August 2017 version. http://www.theicct.org/global-transportation-roadmap-model (International Council on Clean Transportation, 2017)."
